,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
2706,86,2444484000,15834.5,10144.63,72314618.92,105,2.46E+13,43286367600,0,8297.1,2.202867,0
2718,86,2284077000,16339.09,6694.09 1,92901529.28,156,2.23E+13,1.26E+11,0,8578.79,6.400221,0
2721,86,2327086000,17223.76,6886.38 1,54979685.19,145,2.31E+13,59173245600,0,9083.25,3.036384,0
2727,86,9552389000,60945.01,25860.45 2,95699700.65,196,8.63E+13,2.13E+11,0,32099.22,10.895259,0
2790,86,281202100,2955.75,787.64 3,4352270.605,52,3.76E+12,0,0,1969.1,0,0
2850,86,14909797000,173494.72,69339.41,474723247.9,540,1.46E+14,85450293600,0,91392.05,8.348567,0
2864,86,2384956500,62652.51,12423.97 2,5698523.118,282,2.71E+13,19063228800,0,32951.7,2.079327,0
2872,86,7924856000,275311.78,44981.03 3,65581239.57,377,7.59E+13,2.47E+11,0,144880.15,26.522216,0
2876,86,7381259000,208739.05,47011.7,294694332,338,7.31E+13,19992000000,0,109864.6,1.562845,0
3098,86,1710661000,3847.15,9442.84 2,19612986.58,231,2.02E+13,1.30E+11,0,14463.23,9.473815,0
3130,86,1225454000,15879.55,4571.18 1,6513028.835,105,1.37E+13,1.90E+11,0,8344.24,24.484564,0
3131,86,3805002000,58448.27,14108.64 1,91374696.67,144,3.86E+13,2.80E+11,0,30716.4,36.243109,0
3138,86,1860936000,25351.09,9950.28 1,38748074.59,176,2.20E+13,33959028600,0,13355.97,1.951323,0
3140,86,8848237000,123515.56,26588.63 2,85131243.49,211,8.79E+13,3.25E+11,0,64995.39,11.627563,0
3149,86,9324038000,105086.67,26656.20 2,87896268.11,190,8.92E+13,4.40E+11,0,55365.96,16.27591,0
3178,86,2445425000,34385.39,11136.86 8,7758123.182,85,2.53E+13,18032700000,0,18069.2,1.384234,0
3297,86,2795964000,27156.89,11795.66,126553557.5,90,2.75E+13,2.33E+11,0,14258.82,11.907387,0
3497,86,7637181000,62431.12,21033.48 1,73176927.23,256,8.22E+13,0,7.83E+11,41626.24,0,0
3644,86,1016795000,5211.17,3690.97 5,6165631.001,106,1.16E+13,19992000000,0,2737.22,1.518192,0
3775,86,2628321000,14449.18,10720.28 1,63885118.28,179,2.51E+13,34714386000,0,7599.54,0.87817,0
3776,86,990150000,11170.82,6527.74 1,32516855.33,131,1.59E+13,1.36E+11,0,5879.35,3.453142,0
3788,86,2004791000,13527.86,6226.01 1,78684907.81,211,2.13E+13,1.59E+11,0,7119.59,4.063396,0
3796,86,1309382000,8529.33,5950.12,87322388.24,140,1.35E+13,41160000000,0,4486.98,2.083793,0
3936,86,1580809000,8864.41,7193.98 1,32571811.23,137,1.52E+13,37694592600,0,4641.27,6.376406,0
3945,86,354501000,3099.77,1968.70 7,7937234.755,79,4.42E+12,9475200000,0,1635.86,0.714443,0
3946,86,740826000,7924.07,4694.47 8,2662438.242,79,7.96E+12,21911400000,0,4169.47,1.65215,0
3947,86,4580917000,146083.95,30559.50 1,78827745.62,245,4.42E+13,17494327200,0,76919,0.168192,0
3948,86,7407524000,81852.54,33772.37 3,35208043.6,254,7.32E+13,3.32E+11,0,43100.29,3.826736,0
4054,86,994893000,18902.71,8070.25 5,996829.0907,60,1.02E+13,1176000000,0,9948.81,0.089305,0
4072,86,1182113000,24576.73,6448.19 1,17237888.67,164,1.34E+13,1.26E+11,0,12911.94,6.489526,0
4158,86,4097987000,23976.91,23488.82 2,13803751.83,279,4.66E+13,49068579000,0,13661.84,3.79548,0
4162,86,2861524000,13350.01,11694.56 1,79883810.75,230,2.98E+13,74675949600,1.44E+11,10062.33,5.685777,0
6002,86,4440395000,19490.59,13596.12 3,64794088.66,332,4.39E+13,6.26E+11,0,10212.64,29.835447,0
6004,86,6820354000,31639.68,26333.64 4,9062755.816,257,6.89E+13,3.01E+11,0,74908.8,22.683572,0
6016,86,1598528000,7118.56,6030.94 1,58842193.33,125,1.66E+13,42820159200,0,26775.18,1.65215,0
6017,86,2963483000,8154.8,7170.20 3,46308373,242,3.18E+13,1.42E+11,0,25776.39,5.678335,0
6095,86,4447882000,17035.61,19412.42 2,24461087.21,266,4.62E+13,97078669800,0,9748,7.457001,0
6139,86,7212789000,31129.29,48136.40 2,12807103.02,131,7.44E+13,1.56E+11,0,17783.6,3.944322,0
6146,86,15314013000,43277.52,45866.98 4,31958953,700,1.72E+14,4.28E+11,0,99405.46,54.922822,0
6147,86,13270109000,74120.89,43272.57 3,20579871.08,528,1.48E+14,3.70E+11,0,67365.48,47.480706,0
